move_id,session_id,timestamp,sequence_number,content,move_type,phase,modality,cognitive_operation,design_focus,move_source,cognitive_load,previous_move_id,tool_used,interaction_trigger,semantic_links,temporal_links,conceptual_distance,ai_influence_strength,self_generation_strength,directness_level,pause_duration,revision_count,complexity_score,uncertainty_markers
7abc8a36-0f78-4327-a821-ac6795cdbc24,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:00:15.092168,1,I need your help defining the program of a community center,analysis,IDEATION,text,proposal,function,user_generated,medium,,,,[],[],0.0,,1.0,,0.0,0,0.3982575757575757,0
10185ea0-adef-4cbe-86cf-68653d0cc49a,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:00:15.100170,2,"Considering the unique needs of the community you're designing for, how might the program of your community center reflect and enhance the cultural, social, and recreational activities that are most valued by its members?",analysis,IDEATION,text,proposal,culture,ai_prompted,medium,,,,[],[],0.0,,1.0,,0.0,0,0.7112745098039215,1
af4c7d89-56da-40e0-8111-e9d01471b59c,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:01:06.928277,3,"well, this is for a Chinese community",analysis,IDEATION,text,proposal,culture,user_generated,medium,,,,[],[],0.0,,1.0,,0.0,0,0.42654761904761906,0
1e86116f-87ee-4015-b023-4f982db59cf6,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:01:06.960329,4,"When designing a community center for a Chinese community, it's essential to consider the cultural, social, and functional aspects that will shape the programming of the space.",analysis,IDEATION,text,proposal,function,ai_prompted,medium,,,,[],[],0.0,,1.0,,0.0,0,0.6931481481481481,0
c5badc8e-272c-4f23-bc51-6c76751a616a,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:01:06.960329,5,**Cultural Significance and Traditions**: Chinese communities often have rich cultural traditions that could influence the design of a community center.,analysis,IDEATION,text,proposal,culture,ai_prompted,medium,,,,[],[],0.0,,1.0,,0.0,0,0.6160416666666666,1
6ece50bc-4b84-42e6-9e16-b7333a4b3735,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:01:06.960329,6,How might these cultural activities influence the spatial layout and design elements of your project?,reflection,IDEATION,text,proposal,material,ai_prompted,low,,,,[],[],0.0,,1.0,,0.0,0,0.5141666666666667,1
a7ad13cc-3105-4417-8a5e-ca7dd2fa3e37,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:01:06.960329,7,2. **Social Dynamics and Inclusivity**: Community centers serve as gathering places for people of all ages and backgrounds.,analysis,IDEATION,text,proposal,culture,ai_prompted,medium,,,,[],[],0.0,,1.0,,0.0,0,0.5452777777777779,0
a3d84d9e-a8c1-42c6-b394-acafc65fe3a8,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:01:06.960329,8,"In a Chinese community, there might be a need for spaces that cater to both traditional family structures and modern social interactions.",analysis,IDEATION,text,proposal,culture,ai_prompted,medium,,,,[],[],0.0,,1.0,,0.0,0,0.5965151515151516,1
21258e59-3a6e-4244-ba46-49d6387ac849,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:01:06.961336,9,"How can you design flexible spaces that accommodate diverse activities and foster a sense of belonging for all community members?

3.",analysis,IDEATION,text,proposal,culture,ai_prompted,medium,,,,[],[],0.0,,1.0,,0.0,0,0.5433333333333333,0
240c1bd0-0340-4e62-8489-36c1f9270165,4c6d62c5-04ce-4870-afc2-bfe5bfb8e954,2025-08-06T15:01:06.961336,10,**Functional Requirements and Adaptability**: Consider the types of activities and services the community center will host.,analysis,IDEATION,text,proposal,function,ai_prompted,medium,,,,[],[],0.0,,1.0,,0.0,0,0.5672916666666666,0
